issue,commit fix,commit blame,file,match
adhoc,25a6b32fe16ff1e048c6667f05c19e0cb5b24090,9d442ceec87c17821f40fe825e72a0ef41abaa97,src/java/org/apache/commons/math/linear/EigenDecompositionImpl.java,0
adhoc,25a6b32fe16ff1e048c6667f05c19e0cb5b24090,2c36a666c7a9efdfab8490c12f76a98c28ebfb06,src/java/org/apache/commons/math/linear/EigenDecomposition.java,0
adhoc,25a6b32fe16ff1e048c6667f05c19e0cb5b24090,2c36a666c7a9efdfab8490c12f76a98c28ebfb06,src/java/org/apache/commons/math/linear/EigenDecompositionImpl.java,0
adhoc,25a6b32fe16ff1e048c6667f05c19e0cb5b24090,136ffc1054260445343d57a3acfa2776a97d8c6f,src/java/org/apache/commons/math/linear/EigenDecompositionImpl.java,0
adhoc,25a6b32fe16ff1e048c6667f05c19e0cb5b24090,bdf20e5cf99c473b9caef8d693d1ee2f8effe25d,src/java/org/apache/commons/math/linear/EigenDecompositionImpl.java,0
adhoc,ca304541d80a5042d55ece0efde6fc9c1206e81f,5de3587b86ffc735020c3b06e60c993cfc4e53ab,src/java/org/apache/commons/math/EmpiricalDistributionImpl.java,0
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,05195b77ca8d86fbb4fdd9216f436d8b7f3a57de,src/mantissa/src/org/spaceroots/mantissa/ode/ContinuousOutputModel.java,1
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,05195b77ca8d86fbb4fdd9216f436d8b7f3a57de,src/mantissa/src/org/spaceroots/mantissa/ode/GraggBulirschStoerIntegrator.java,1
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,05195b77ca8d86fbb4fdd9216f436d8b7f3a57de,src/mantissa/src/org/spaceroots/mantissa/ode/RungeKuttaFehlbergIntegrator.java,0
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,0010754c0b2eb5a5dc490acdf4f4948330363e23,src/java/org/apache/commons/math/ode/nonstiff/EmbeddedRungeKuttaIntegrator.java,0
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,0010754c0b2eb5a5dc490acdf4f4948330363e23,src/java/org/apache/commons/math/ode/nonstiff/GraggBulirschStoerIntegrator.java,0
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,08dae2254be03017a4ece1d7e6b297de6cb0929d,src/java/org/apache/commons/math/ode/AbstractIntegrator.java,1
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,8365d33be2ddc29dac9adddde8f20aa7d3c4a1c4,src/java/org/apache/commons/math/ode/nonstiff/MultistepIntegrator.java,1
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,a70c0de4a24a48ded4230016d05e51baf0afc09f,src/java/org/apache/commons/math/ode/nonstiff/EmbeddedRungeKuttaIntegrator.java,1
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,83ec0f9328645c8b6ee4b24811f978011d4142fa,src/java/org/apache/commons/math/ode/MultistepIntegrator.java,1
